scenario_initial_capital_krw,year,annual_dividend_nominal_krw,monthly_dividend_nominal_krw,monthly_dividend_real_krw,target_monthly_nominal_krw,monthly_gap_nominal_krw,real_coverage_pct,target_reached
10000000,1,300000.0,25000.0,24752.48,1010000.0,-985000.0,2.4752,N
10000000,2,330000.0,27500.0,26958.14,1020100.0,-992600.0,2.6958,N
10000000,3,363000.0,30250.0,29360.35,1030301.0,-1000051.0,2.936,N
10000000,4,399300.0,33275.0,31976.62,1040604.01,-1007329.01,3.1977,N
10000000,5,439230.0,36602.5,34826.02,1051010.05,-1014407.55,3.4826,N
10000000,6,483153.0,40262.75,37929.33,1061520.15,-1021257.4,3.7929,N
10000000,7,531468.3,44289.03,41309.17,1072135.35,-1027846.33,4.1309,N
10000000,8,584615.13,48717.93,44990.19,1082856.71,-1034138.78,4.499,N
10000000,9,643076.64,53589.72,48999.22,1093685.27,-1040095.55,4.8999,N
10000000,10,707384.31,58948.69,53365.48,1104622.13,-1045673.43,5.3365,N
10000000,11,778122.74,64843.56,58120.82,1115668.35,-1050824.79,5.8121,N
10000000,12,855935.01,71327.92,63299.91,1126825.03,-1055497.11,6.33,N
10000000,13,941528.51,78460.71,68940.49,1138093.28,-1059632.57,6.894,N
10000000,14,1035681.36,86306.78,75083.7,1149474.21,-1063167.43,7.5084,N
10000000,15,1139249.5,94937.46,81774.33,1160968.96,-1066031.5,8.1774,N
10000000,16,1253174.45,104431.2,89061.15,1172578.64,-1068147.44,8.9061,N
10000000,17,1378491.9,114874.32,96997.29,1184304.43,-1069430.11,9.6997,N
10000000,18,1516341.09,126361.76,105640.62,1196147.48,-1069785.72,10.5641,N
10000000,19,1667975.19,138997.93,115054.14,1208108.95,-1069111.02,11.5054,N
10000000,20,1834772.71,152897.73,125306.49,1220190.04,-1067292.31,12.5306,N
10000000,21,2018249.98,168187.5,136472.41,1232391.94,-1064204.44,13.6472,N
10000000,22,2220074.98,185006.25,148633.32,1244715.86,-1059709.61,14.8633,N
10000000,23,2442082.48,203506.87,161877.87,1257163.02,-1053656.14,16.1878,N
10000000,24,2686290.73,223857.56,176302.63,1269734.65,-1045877.09,17.6303,N
10000000,25,2954919.8,246243.32,192012.77,1282432.0,-1036188.68,19.2013,N
10000000,26,3250411.78,270867.65,209122.82,1295256.31,-1024388.67,20.9123,N
10000000,27,3575452.96,297954.41,227757.52,1308208.88,-1010254.46,22.7758,N
10000000,28,3932998.26,327749.85,248052.75,1321290.97,-993541.11,24.8053,N
10000000,29,4326298.08,360524.84,270156.46,1334503.88,-973979.04,27.0156,N
10000000,30,4758927.89,396577.32,294229.81,1347848.92,-951271.59,29.423,N
10000000,31,5234820.68,436235.06,320448.3,1361327.4,-925092.35,32.0448,N
10000000,32,5758302.75,479858.56,349003.1,1374940.68,-895082.12,34.9003,N
10000000,33,6334133.02,527844.42,380102.39,1388690.09,-860845.67,38.0102,N
10000000,34,6967546.33,580628.86,413972.9,1402576.99,-821948.13,41.3973,N
10000000,35,7664300.96,638691.75,450861.57,1416602.76,-777911.01,45.0862,N
10000000,36,8430731.05,702560.92,491037.36,1430768.78,-728207.86,49.1037,N
10000000,37,9273804.16,772817.01,534793.16,1445076.47,-672259.46,53.4793,N
10000000,38,10201184.58,850098.71,582448.0,1459527.24,-609428.52,58.2448,N
10000000,39,11221303.03,935108.59,634349.3,1474122.51,-539013.92,63.4349,N
10000000,40,12343433.34,1028619.44,690875.48,1488863.73,-460244.29,69.0875,N
100000000,1,3000000.0,250000.0,247524.75,1010000.0,-760000.0,24.7525,N
100000000,2,3300000.0,275000.0,269581.41,1020100.0,-745100.0,26.9581,N
100000000,3,3630000.0,302500.0,293603.52,1030301.0,-727801.0,29.3604,N
100000000,4,3993000.0,332750.0,319766.21,1040604.01,-707854.01,31.9766,N
100000000,5,4392300.0,366025.0,348260.23,1051010.05,-684985.05,34.826,N
100000000,6,4831530.0,402627.5,379293.32,1061520.15,-658892.65,37.9293,N
100000000,7,5314683.0,442890.25,413091.73,1072135.35,-629245.1,41.3092,N
100000000,8,5846151.3,487179.28,449901.89,1082856.71,-595677.43,44.9902,N
100000000,9,6430766.43,535897.2,489992.15,1093685.27,-557788.07,48.9992,N
100000000,10,7073843.07,589486.92,533654.82,1104622.13,-515135.2,53.3655,N
100000000,11,7781227.38,648435.62,581208.22,1115668.35,-467232.73,58.1208,N
100000000,12,8559350.12,713279.18,632999.05,1126825.03,-413545.85,63.2999,N
100000000,13,9415285.13,784607.09,689404.91,1138093.28,-353486.19,68.9405,N
100000000,14,10356813.64,863067.8,750837.03,1149474.21,-286406.41,75.0837,N
100000000,15,11392495.01,949374.58,817743.3,1160968.96,-211594.37,81.7743,N
100000000,16,12531744.51,1044312.04,890611.51,1172578.64,-128266.6,89.0612,N
100000000,17,13784918.96,1148743.25,969972.94,1184304.43,-35561.18,96.9973,N
100000000,18,15163410.85,1263617.57,1056406.17,1196147.48,67470.1,105.6406,Y
100000000,19,16679751.94,1389979.33,1150541.37,1208108.95,181870.38,115.0541,Y
100000000,20,18347727.13,1528977.26,1253064.86,1220190.04,308787.22,125.3065,Y
100000000,21,20182499.85,1681874.99,1364724.1,1232391.94,449483.05,136.4724,Y
100000000,22,22200749.83,1850062.49,1486333.18,1244715.86,605346.63,148.6333,Y
100000000,23,24420824.82,2035068.73,1618778.71,1257163.02,777905.72,161.8779,Y
100000000,24,26862907.3,2238575.61,1763026.32,1269734.65,968840.96,176.3026,Y
100000000,25,29549198.03,2462433.17,1920127.68,1282432.0,1180001.17,192.0128,Y
100000000,26,32504117.83,2708676.49,2091228.16,1295256.31,1413420.17,209.1228,Y
100000000,27,35754529.61,2979544.13,2277575.23,1308208.88,1671335.26,227.7575,Y
100000000,28,39329982.57,3277498.55,2480527.48,1321290.97,1956207.58,248.0527,Y
100000000,29,43262980.83,3605248.4,2701564.58,1334503.88,2270744.53,270.1565,Y
100000000,30,47589278.92,3965773.24,2942298.06,1347848.92,2617924.33,294.2298,Y
100000000,31,52348206.81,4362350.57,3204483.03,1361327.4,3001023.16,320.4483,Y
100000000,32,57583027.49,4798585.62,3490031.02,1374940.68,3423644.95,349.0031,Y
100000000,33,63341330.24,5278444.19,3801023.89,1388690.09,3889754.1,380.1024,Y
100000000,34,69675463.26,5806288.6,4139728.99,1402576.99,4403711.62,413.9729,Y
100000000,35,76643009.59,6386917.47,4508615.73,1416602.76,4970314.71,450.8616,Y
100000000,36,84307310.54,7025609.21,4910373.56,1430768.78,5594840.43,491.0374,Y
100000000,37,92738041.6,7728170.13,5347931.61,1445076.47,6283093.66,534.7932,Y
100000000,38,102011845.76,8500987.15,5824479.97,1459527.24,7041459.91,582.448,Y
100000000,39,112213030.33,9351085.86,6343493.03,1474122.51,7876963.35,634.3493,Y
100000000,40,123434333.37,10286194.45,6908754.79,1488863.73,8797330.71,690.8755,Y
